UniProt_ID,BindingDB_ID,chEMBL_ID,Molecule_name,IN_KI
P00519,BDBM32362,CHEMBL261849,GW632580X,IK28298
P00519,BDBM21079,CHEMBL223360,LINIFANIB,IK28299
P00519,BDBM25028,CHEMBL521851,PICTILISIB,IK28300
P00519,BDBM50161957,CHEMBL180022,NERATINIB,IK28301
P00519,BDBM5446,CHEMBL553,ERLOTINIB,IK28302
P00519,BDBM25045,CHEMBL573339,PI103,IK28303
P00519,BDBM31088,CHEMBL558752,RAF265,IK28304
P00519,BDBM50355500,CHEMBL1908394,GSK461364,IK28305
P00519,BDBM50355499,CHEMBL1908842,JNJ28312141,IK28306
P00519,BDBM50355494,CHEMBL1908396,Ki20227,IK28307
P00519,BDBM50355496,CHEMBL1908397,KW2449,IK28308
P00519,BDBM50355495,CHEMBL1908391,MASITINIB,IK28309
P00519,BDBM25919,CHEMBL249697,BMS345541,IK28310
P00519,BDBM50300690,CHEMBL576982,QUIZARTINIB,IK28311
P00519,BDBM12621,CHEMBL384304,RG547,IK28312
P00519,BDBM25084,CHEMBL230011,TG100115,IK28313
P00519,BDBM15244,CHEMBL119385,NEFLAMAPIMOD,IK28314
P00519,BDBM50332294,CHEMBL1287853,FEDRATINIB,IK28315
P00519,BDBM50308060,CHEMBL603469,LESTAURTINIB,IK28316
P00519,BDBM26300,CHEMBL215152,AZD1152HQPA,IK28317
P00519,BDBM25118,CHEMBL522892,DOVITINIB,IK28318
P00519,BDBM16673,CHEMBL1336,SORAFENIB,IK28319
P00519,BDBM25617,CHEMBL1230020,PLX4720,IK28320
P00519,BDBM4779,CHEMBL31965,CANERTINIB,IK28321
P00519,BDBM50242737,CHEMBL450786,PHA665752,IK28322
P00519,BDBM15138,CHEMBL379218,A674563,IK28323
P00519,BDBM13533,CHEMBL103667,DORAMAPIMOD,IK28324
P00519,BDBM6568,CHEMBL386051,PD17395,IK28325
P00519,BDBM50355495,CHEMBL1908391,MASITINIB,IK28326
P00519,BDBM50355500,CHEMBL1908394,GSK461364,IK28327
P00519,BDBM50355497,CHEMBL1614701,SELUMETINIB,IK28328
P00519,BDBM13216,CHEMBL1421,DASATINIB,IK28329
P00519,BDBM50355499,CHEMBL1908842,JNJ28312141,IK28330
P00519,BDBM50355494,CHEMBL1908396,Ki20227,IK28331
P00519,BDBM50355496,CHEMBL1908397,KW2449,IK28332
P00519,BDBM25028,CHEMBL521851,PICTILISIB,IK28333
P00519,BDBM60665,CHEMBL475251,R406,IK28334
P00519,BDBM4779,CHEMBL31965,CANERTINIB,IK28335
P00519,BDBM50026612,CHEMBL502835,NINTEDANIB,IK28336
P00519,BDBM31085,CHEMBL574738,AST487,IK28337
P00519,BDBM24773,CHEMBL572881,MOTESANIB,IK28338
P00519,BDBM6568,CHEMBL386051,PD17395,IK28339
P00519,BDBM13336,CHEMBL10,SB203580,IK28340
P00519,BDBM50355497,CHEMBL1614701,SELUMETINIB,IK28341
P00519,BDBM25013,CHEMBL494089,GSK690693,IK28342
P00519,BDBM21,CHEMBL24828,VANDETANIB,IK28343
P00519,BDBM25117,CHEMBL1289926,AXITINIB,IK28344
P00519,BDBM15138,CHEMBL379218,A674563,IK28345
P00519,BDBM50355497,CHEMBL1614701,SELUMETINIB,IK28346
P00519,BDBM25118,CHEMBL522892,DOVITINIB,IK28347
P00519,BDBM5931,CHEMBL296468,BMS387032,IK28348
